tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.flags.fin,tcp.flags.syn,tcp.flags.ack,tcp.flags.push,tcp.flags.urg,tcp.window_size_value,tcp.hdr_len,tcp.len
37706,80,1,1,0,0,1,0,0,211,32,0
37706,80,1,1,0,0,1,1,0,211,32,230
37708,80,0,0,0,1,0,0,0,26883,40,0
37704,80,1,1,0,0,1,1,0,211,32,230
37710,80,0,0,0,1,0,0,0,26883,40,0
37708,80,1,1,0,0,1,0,0,211,32,0
37708,80,1,1,0,0,1,1,0,211,32,230
37712,80,0,0,0,1,0,0,0,26883,40,0
37710,80,1,1,0,0,1,0,0,211,32,0
37710,80,1,1,0,0,1,1,0,211,32,230
37714,80,0,0,0,1,0,0,0,26883,40,0
37712,80,1,1,0,0,1,0,0,211,32,0
37712,80,1,1,0,0,1,1,0,211,32,230
37716,80,0,0,0,1,0,0,0,26883,40,0
37714,80,1,1,0,0,1,0,0,211,32,0
37716,80,1,1,0,0,1,0,0,211,32,0
37716,80,1,1,0,0,1,1,0,211,32,230
37718,80,0,0,0,1,0,0,0,26883,40,0
37714,80,1,1,0,0,1,1,0,211,32,230
37720,80,0,0,0,1,0,0,0,26883,40,0
37718,80,1,1,0,0,1,0,0,211,32,0
37718,80,1,1,0,0,1,1,0,211,32,230
37720,80,1,1,0,0,1,0,0,211,32,0
37722,80,0,0,0,1,0,0,0,26883,40,0
37720,80,1,1,0,0,1,1,0,211,32,230
37724,80,0,0,0,1,0,0,0,26883,40,0
37722,80,1,1,0,0,1,0,0,211,32,0
37722,80,1,1,0,0,1,1,0,211,32,230
37724,80,1,1,0,0,1,0,0,211,32,0
37726,80,0,0,0,1,0,0,0,26883,40,0
37724,80,1,1,0,0,1,1,0,211,32,230
37728,80,0,0,0,1,0,0,0,26883,40,0
37726,80,1,1,0,0,1,0,0,211,32,0
37726,80,1,1,0,0,1,1,0,211,32,230
37728,80,1,1,0,0,1,0,0,211,32,0
37730,80,0,0,0,1,0,0,0,26883,40,0
37728,80,1,1,0,0,1,1,0,211,32,230
37732,80,0,0,0,1,0,0,0,26883,40,0
37730,80,1,1,0,0,1,0,0,211,32,0
37730,80,1,1,0,0,1,1,0,211,32,230
37734,80,0,0,0,1,0,0,0,26883,40,0
37732,80,1,1,0,0,1,0,0,211,32,0
37732,80,1,1,0,0,1,1,0,211,32,230
37736,80,0,0,0,1,0,0,0,26883,40,0
37734,80,1,1,0,0,1,0,0,211,32,0
37734,80,1,1,0,0,1,1,0,211,32,230
37738,80,0,0,0,1,0,0,0,26883,40,0
37736,80,1,1,0,0,1,0,0,211,32,0
37736,80,1,1,0,0,1,1,0,211,32,230
37740,80,0,0,0,1,0,0,0,26883,40,0
37738,80,1,1,0,0,1,0,0,211,32,0
37738,80,1,1,0,0,1,1,0,211,32,230
37742,80,0,0,0,1,0,0,0,26883,40,0
37740,80,1,1,0,0,1,0,0,211,32,0
37740,80,1,1,0,0,1,1,0,211,32,230
37744,80,0,0,0,1,0,0,0,26883,40,0
37742,80,1,1,0,0,1,0,0,211,32,0
37742,80,1,1,0,0,1,1,0,211,32,230
37746,80,0,0,0,1,0,0,0,26883,40,0
37744,80,1,1,0,0,1,0,0,211,32,0
37744,80,1,1,0,0,1,1,0,211,32,230
37748,80,0,0,0,1,0,0,0,26883,40,0
37746,80,1,1,0,0,1,0,0,211,32,0
37746,80,1,1,0,0,1,1,0,211,32,230
37748,80,1,1,0,0,1,0,0,211,32,0
37750,80,0,0,0,1,0,0,0,26883,40,0
37748,80,1,1,0,0,1,1,0,211,32,230
37752,80,0,0,0,1,0,0,0,26883,40,0
37750,80,1,1,0,0,1,0,0,211,32,0
37750,80,1,1,0,0,1,1,0,211,32,230
37752,80,1,1,0,0,1,0,0,211,32,0
37754,80,0,0,0,1,0,0,0,26883,40,0
37752,80,1,1,0,0,1,1,0,211,32,230
37756,80,0,0,0,1,0,0,0,26883,40,0
37754,80,1,1,0,0,1,0,0,211,32,0
37754,80,1,1,0,0,1,1,0,211,32,230
37756,80,1,1,0,0,1,0,0,211,32,0
37622,80,231,1,0,0,1,1,0,211,32,8
37624,80,231,1,0,0,1,1,0,211,32,8
37626,80,231,1,0,0,1,1,0,211,32,8
37628,80,231,1,0,0,1,1,0,211,32,8
37630,80,231,1,0,0,1,1,0,211,32,8
37632,80,231,1,0,0,1,1,0,211,32,8
37634,80,231,1,0,0,1,1,0,211,32,8
37636,80,231,1,0,0,1,1,0,211,32,8
37638,80,231,1,0,0,1,1,0,211,32,8
37640,80,231,1,0,0,1,1,0,211,32,8
37642,80,231,1,0,0,1,1,0,211,32,8
37644,80,231,1,0,0,1,1,0,211,32,8
37646,80,231,1,0,0,1,1,0,211,32,8
37648,80,231,1,0,0,1,1,0,211,32,8
37650,80,231,1,0,0,1,1,0,211,32,8
37652,80,231,1,0,0,1,1,0,211,32,8
37654,80,231,1,0,0,1,1,0,211,32,8
37656,80,231,1,0,0,1,1,0,211,32,8
37658,80,231,1,0,0,1,1,0,211,32,8
37660,80,231,1,0,0,1,1,0,211,32,8
37664,80,231,1,0,0,1,1,0,211,32,8
37666,80,231,1,0,0,1,1,0,211,32,8
37668,80,231,1,0,0,1,1,0,211,32,8
37670,80,231,1,0,0,1,1,0,211,32,8
37672,80,231,1,0,0,1,1,0,211,32,8
37674,80,231,1,0,0,1,1,0,211,32,8
37676,80,231,1,0,0,1,1,0,211,32,8
37678,80,231,1,0,0,1,1,0,211,32,8
37680,80,231,1,0,0,1,1,0,211,32,8
37682,80,231,1,0,0,1,1,0,211,32,8
37684,80,231,1,0,0,1,1,0,211,32,8
37688,80,231,1,0,0,1,1,0,211,32,8
37690,80,231,1,0,0,1,1,0,211,32,8
37694,80,231,1,0,0,1,1,0,211,32,8
37698,80,231,1,0,0,1,1,0,211,32,8
37702,80,231,1,0,0,1,1,0,211,32,8
37706,80,231,1,0,0,1,1,0,211,32,8
37708,80,231,1,0,0,1,1,0,211,32,8
37712,80,231,1,0,0,1,1,0,211,32,8
37716,80,231,1,0,0,1,1,0,211,32,8
37718,80,231,1,0,0,1,1,0,211,32,8
37722,80,231,1,0,0,1,1,0,211,32,8
37726,80,231,1,0,0,1,1,0,211,32,8
37730,80,231,1,0,0,1,1,0,211,32,8
37734,80,231,1,0,0,1,1,0,211,32,8
37738,80,231,1,0,0,1,1,0,211,32,8
37742,80,231,1,0,0,1,1,0,211,32,8
37746,80,231,1,0,0,1,1,0,211,32,8
37750,80,231,1,0,0,1,1,0,211,32,8
37754,80,231,1,0,0,1,1,0,211,32,8
37756,80,1,1,0,0,1,1,0,211,32,230
37758,80,0,0,0,1,0,0,0,26883,40,0
37758,80,1,1,0,0,1,0,0,211,32,0
37758,80,1,1,0,0,1,1,0,211,32,230
37760,80,0,0,0,1,0,0,0,26883,40,0
37760,80,1,1,0,0,1,0,0,211,32,0
37760,80,1,1,0,0,1,1,0,211,32,230
37762,80,0,0,0,1,0,0,0,26883,40,0
37762,80,1,1,0,0,1,0,0,211,32,0
37762,80,1,1,0,0,1,1,0,211,32,230
37764,80,0,0,0,1,0,0,0,26883,40,0
37764,80,1,1,0,0,1,0,0,211,32,0
37764,80,1,1,0,0,1,1,0,211,32,230
37766,80,0,0,0,1,0,0,0,26883,40,0
37766,80,1,1,0,0,1,0,0,211,32,0
37766,80,1,1,0,0,1,1,0,211,32,230
37768,80,0,0,0,1,0,0,0,26883,40,0
37768,80,1,1,0,0,1,0,0,211,32,0
37768,80,1,1,0,0,1,1,0,211,32,230
37770,80,0,0,0,1,0,0,0,26883,40,0
37770,80,1,1,0,0,1,0,0,211,32,0
37770,80,1,1,0,0,1,1,0,211,32,230
37772,80,0,0,0,1,0,0,0,26883,40,0
37774,80,0,0,0,1,0,0,0,26883,40,0
37772,80,1,1,0,0,1,0,0,211,32,0
37774,80,1,1,0,0,1,0,0,211,32,0
37772,80,1,1,0,0,1,1,0,211,32,230
37776,80,0,0,0,1,0,0,0,26883,40,0
37776,80,1,1,0,0,1,0,0,211,32,0
37776,80,1,1,0,0,1,1,0,211,32,230
37778,80,0,0,0,1,0,0,0,26883,40,0
37778,80,1,1,0,0,1,0,0,211,32,0
37778,80,1,1,0,0,1,1,0,211,32,230
37780,80,0,0,0,1,0,0,0,26883,40,0
37774,80,1,1,0,0,1,1,0,211,32,230
37782,80,0,0,0,1,0,0,0,26883,40,0
37780,80,1,1,0,0,1,0,0,211,32,0
37782,80,1,1,0,0,1,0,0,211,32,0
37780,80,1,1,0,0,1,1,0,211,32,230
37784,80,0,0,0,1,0,0,0,26883,40,0
37782,80,1,1,0,0,1,1,0,211,32,230
37786,80,0,0,0,1,0,0,0,26883,40,0
37784,80,1,1,0,0,1,0,0,211,32,0
37786,80,1,1,0,0,1,0,0,211,32,0
37784,80,1,1,0,0,1,1,0,211,32,230
37788,80,0,0,0,1,0,0,0,26883,40,0
37786,80,1,1,0,0,1,1,0,211,32,230
37790,80,0,0,0,1,0,0,0,26883,40,0
37788,80,1,1,0,0,1,0,0,211,32,0
37788,80,1,1,0,0,1,1,0,211,32,230
37790,80,1,1,0,0,1,0,0,211,32,0
37792,80,0,0,0,1,0,0,0,26883,40,0
37790,80,1,1,0,0,1,1,0,211,32,230
37794,80,0,0,0,1,0,0,0,26883,40,0
37792,80,1,1,0,0,1,0,0,211,32,0
37792,80,1,1,0,0,1,1,0,211,32,230
37794,80,1,1,0,0,1,0,0,211,32,0
37796,80,0,0,0,1,0,0,0,26883,40,0
37794,80,1,1,0,0,1,1,0,211,32,230
37798,80,0,0,0,1,0,0,0,26883,40,0
37796,80,1,1,0,0,1,0,0,211,32,0
37796,80,1,1,0,0,1,1,0,211,32,230
37798,80,1,1,0,0,1,0,0,211,32,0
37800,80,0,0,0,1,0,0,0,26883,40,0
37798,80,1,1,0,0,1,1,0,211,32,230
37802,80,0,0,0,1,0,0,0,26883,40,0
37800,80,1,1,0,0,1,0,0,211,32,0
37800,80,1,1,0,0,1,1,0,211,32,230
37802,80,1,1,0,0,1,0,0,211,32,0
37804,80,0,0,0,1,0,0,0,26883,40,0
37802,80,1,1,0,0,1,1,0,211,32,230
37806,80,0,0,0,1,0,0,0,26883,40,0
37804,80,1,1,0,0,1,0,0,211,32,0
37804,80,1,1,0,0,1,1,0,211,32,230
37806,80,1,1,0,0,1,0,0,211,32,0
37808,80,0,0,0,1,0,0,0,26883,40,0
37806,80,1,1,0,0,1,1,0,211,32,230
37810,80,0,0,0,1,0,0,0,26883,40,0
37808,80,1,1,0,0,1,0,0,211,32,0
37808,80,1,1,0,0,1,1,0,211,32,230
37810,80,1,1,0,0,1,0,0,211,32,0
37812,80,0,0,0,1,0,0,0,26883,40,0
37810,80,1,1,0,0,1,1,0,211,32,230
37814,80,0,0,0,1,0,0,0,26883,40,0
37812,80,1,1,0,0,1,0,0,211,32,0
37812,80,1,1,0,0,1,1,0,211,32,230
37816,80,0,0,0,1,0,0,0,26883,40,0
37814,80,1,1,0,0,1,0,0,211,32,0
37814,80,1,1,0,0,1,1,0,211,32,230
37818,80,0,0,0,1,0,0,0,26883,40,0
37816,80,1,1,0,0,1,0,0,211,32,0
37816,80,1,1,0,0,1,1,0,211,32,230
37820,80,0,0,0,1,0,0,0,26883,40,0
37818,80,1,1,0,0,1,0,0,211,32,0
37818,80,1,1,0,0,1,1,0,211,32,230
37822,80,0,0,0,1,0,0,0,26883,40,0
37820,80,1,1,0,0,1,0,0,211,32,0
37820,80,1,1,0,0,1,1,0,211,32,230
37824,80,0,0,0,1,0,0,0,26883,40,0
37822,80,1,1,0,0,1,0,0,211,32,0
37822,80,1,1,0,0,1,1,0,211,32,230
37826,80,0,0,0,1,0,0,0,26883,40,0
37824,80,1,1,0,0,1,0,0,211,32,0
37824,80,1,1,0,0,1,1,0,211,32,230
37828,80,0,0,0,1,0,0,0,26883,40,0
37826,80,1,1,0,0,1,0,0,211,32,0
37826,80,1,1,0,0,1,1,0,211,32,230
37830,80,0,0,0,1,0,0,0,26883,40,0
37828,80,1,1,0,0,1,0,0,211,32,0
37828,80,1,1,0,0,1,1,0,211,32,230
37832,80,0,0,0,1,0,0,0,26883,40,0
37830,80,1,1,0,0,1,0,0,211,32,0
37830,80,1,1,0,0,1,1,0,211,32,230
37834,80,0,0,0,1,0,0,0,26883,40,0
37832,80,1,1,0,0,1,0,0,211,32,0
37832,80,1,1,0,0,1,1,0,211,32,230
37836,80,0,0,0,1,0,0,0,26883,40,0
37834,80,1,1,0,0,1,0,0,211,32,0
37834,80,1,1,0,0,1,1,0,211,32,230
37838,80,0,0,0,1,0,0,0,26883,40,0
37836,80,1,1,0,0,1,0,0,211,32,0
37836,80,1,1,0,0,1,1,0,211,32,230
37840,80,0,0,0,1,0,0,0,26883,40,0
37838,80,1,1,0,0,1,0,0,211,32,0
37838,80,1,1,0,0,1,1,0,211,32,230
37842,80,0,0,0,1,0,0,0,26883,40,0
37840,80,1,1,0,0,1,0,0,211,32,0
37840,80,1,1,0,0,1,1,0,211,32,230
37844,80,0,0,0,1,0,0,0,26883,40,0
37842,80,1,1,0,0,1,0,0,211,32,0
37842,80,1,1,0,0,1,1,0,211,32,230
37846,80,0,0,0,1,0,0,0,26883,40,0
37844,80,1,1,0,0,1,0,0,211,32,0
37844,80,1,1,0,0,1,1,0,211,32,230
37848,80,0,0,0,1,0,0,0,26883,40,0
37846,80,1,1,0,0,1,0,0,211,32,0
37846,80,1,1,0,0,1,1,0,211,32,230
37850,80,0,0,0,1,0,0,0,26883,40,0
37848,80,1,1,0,0,1,0,0,211,32,0
37848,80,1,1,0,0,1,1,0,211,32,230
37852,80,0,0,0,1,0,0,0,26883,40,0
37850,80,1,1,0,0,1,0,0,211,32,0
37850,80,1,1,0,0,1,1,0,211,32,230
37854,80,0,0,0,1,0,0,0,26883,40,0
37852,80,1,1,0,0,1,0,0,211,32,0
37852,80,1,1,0,0,1,1,0,211,32,230
37856,80,0,0,0,1,0,0,0,26883,40,0
37854,80,1,1,0,0,1,0,0,211,32,0
37854,80,1,1,0,0,1,1,0,211,32,230
37858,80,0,0,0,1,0,0,0,26883,40,0
37856,80,1,1,0,0,1,0,0,211,32,0
37856,80,1,1,0,0,1,1,0,211,32,230
37860,80,0,0,0,1,0,0,0,26883,40,0
37858,80,1,1,0,0,1,0,0,211,32,0
37858,80,1,1,0,0,1,1,0,211,32,230
37862,80,0,0,0,1,0,0,0,26883,40,0
37860,80,1,1,0,0,1,0,0,211,32,0
37860,80,1,1,0,0,1,1,0,211,32,230
37864,80,0,0,0,1,0,0,0,26883,40,0
37862,80,1,1,0,0,1,0,0,211,32,0
37862,80,1,1,0,0,1,1,0,211,32,230
37866,80,0,0,0,1,0,0,0,26883,40,0
37864,80,1,1,0,0,1,0,0,211,32,0
37864,80,1,1,0,0,1,1,0,211,32,230
37662,80,231,1,0,0,1,1,0,211,32,8
37686,80,231,1,0,0,1,1,0,211,32,8
37692,80,231,1,0,0,1,1,0,211,32,8
37696,80,231,1,0,0,1,1,0,211,32,8
37700,80,231,1,0,0,1,1,0,211,32,8
37704,80,231,1,0,0,1,1,0,211,32,8
37710,80,231,1,0,0,1,1,0,211,32,8
37714,80,231,1,0,0,1,1,0,211,32,8
37720,80,231,1,0,0,1,1,0,211,32,8
37724,80,231,1,0,0,1,1,0,211,32,8
37728,80,231,1,0,0,1,1,0,211,32,8
37732,80,231,1,0,0,1,1,0,211,32,8
37736,80,231,1,0,0,1,1,0,211,32,8
37740,80,231,1,0,0,1,1,0,211,32,8
37744,80,231,1,0,0,1,1,0,211,32,8
37748,80,231,1,0,0,1,1,0,211,32,8
37752,80,231,1,0,0,1,1,0,211,32,8
37756,80,231,1,0,0,1,1,0,211,32,8
37758,80,231,1,0,0,1,1,0,211,32,8
37760,80,231,1,0,0,1,1,0,211,32,8
37762,80,231,1,0,0,1,1,0,211,32,8
37764,80,231,1,0,0,1,1,0,211,32,8
37766,80,231,1,0,0,1,1,0,211,32,8
37768,80,231,1,0,0,1,1,0,211,32,8
37770,80,231,1,0,0,1,1,0,211,32,8
37772,80,231,1,0,0,1,1,0,211,32,8
37776,80,231,1,0,0,1,1,0,211,32,8
37778,80,231,1,0,0,1,1,0,211,32,8
37780,80,231,1,0,0,1,1,0,211,32,8
37784,80,231,1,0,0,1,1,0,211,32,8
37788,80,231,1,0,0,1,1,0,211,32,8
37792,80,231,1,0,0,1,1,0,211,32,8
37796,80,231,1,0,0,1,1,0,211,32,8
37800,80,231,1,0,0,1,1,0,211,32,8
37804,80,231,1,0,0,1,1,0,211,32,8
37808,80,231,1,0,0,1,1,0,211,32,8
37812,80,231,1,0,0,1,1,0,211,32,8
37816,80,231,1,0,0,1,1,0,211,32,8
37820,80,231,1,0,0,1,1,0,211,32,8
37824,80,231,1,0,0,1,1,0,211,32,8
37828,80,231,1,0,0,1,1,0,211,32,8
37832,80,231,1,0,0,1,1,0,211,32,8
37836,80,231,1,0,0,1,1,0,211,32,8
37840,80,231,1,0,0,1,1,0,211,32,8
37844,80,231,1,0,0,1,1,0,211,32,8
37848,80,231,1,0,0,1,1,0,211,32,8
37852,80,231,1,0,0,1,1,0,211,32,8
37856,80,231,1,0,0,1,1,0,211,32,8
37860,80,231,1,0,0,1,1,0,211,32,8
37866,80,1,1,0,0,1,0,0,211,32,0
37864,80,231,1,0,0,1,1,0,211,32,8
37866,80,1,1,0,0,1,1,0,211,32,230
37868,80,0,0,0,1,0,0,0,26883,40,0
37870,80,0,0,0,1,0,0,0,26883,40,0
37868,80,1,1,0,0,1,0,0,211,32,0
37870,80,1,1,0,0,1,0,0,211,32,0
37868,80,1,1,0,0,1,1,0,211,32,230
37872,80,0,0,0,1,0,0,0,26883,40,0
37872,80,1,1,0,0,1,0,0,211,32,0
37872,80,1,1,0,0,1,1,0,211,32,230
37874,80,0,0,0,1,0,0,0,26883,40,0
37874,80,1,1,0,0,1,0,0,211,32,0
37874,80,1,1,0,0,1,1,0,211,32,230
37876,80,0,0,0,1,0,0,0,26883,40,0
37876,80,1,1,0,0,1,0,0,211,32,0
37876,80,1,1,0,0,1,1,0,211,32,230
37878,80,0,0,0,1,0,0,0,26883,40,0
37878,80,1,1,0,0,1,0,0,211,32,0
37878,80,1,1,0,0,1,1,0,211,32,230
37880,80,0,0,0,1,0,0,0,26883,40,0
37870,80,1,1,0,0,1,1,0,211,32,230
37882,80,0,0,0,1,0,0,0,26883,40,0
37880,80,1,1,0,0,1,0,0,211,32,0
37880,80,1,1,0,0,1,1,0,211,32,230
37884,80,0,0,0,1,0,0,0,26883,40,0
37882,80,1,1,0,0,1,0,0,211,32,0
37884,80,1,1,0,0,1,0,0,211,32,0
37884,80,1,1,0,0,1,1,0,211,32,230
37886,80,0,0,0,1,0,0,0,26883,40,0
37882,80,1,1,0,0,1,1,0,211,32,230
37886,80,1,1,0,0,1,0,0,211,32,0
37886,80,1,1,0,0,1,1,0,211,32,230
37888,80,0,0,0,1,0,0,0,26883,40,0
37888,80,1,1,0,0,1,0,0,211,32,0
37888,80,1,1,0,0,1,1,0,211,32,230
37890,80,0,0,0,1,0,0,0,26883,40,0
37892,80,0,0,0,1,0,0,0,26883,40,0
37890,80,1,1,0,0,1,0,0,211,32,0
37890,80,1,1,0,0,1,1,0,211,32,230
37892,80,1,1,0,0,1,0,0,211,32,0
37894,80,0,0,0,1,0,0,0,26883,40,0
37892,80,1,1,0,0,1,1,0,211,32,230
37896,80,0,0,0,1,0,0,0,26883,40,0
37894,80,1,1,0,0,1,0,0,211,32,0
37894,80,1,1,0,0,1,1,0,211,32,230
37896,80,1,1,0,0,1,0,0,211,32,0
37898,80,0,0,0,1,0,0,0,26883,40,0
37896,80,1,1,0,0,1,1,0,211,32,230
37900,80,0,0,0,1,0,0,0,26883,40,0
37898,80,1,1,0,0,1,0,0,211,32,0
37898,80,1,1,0,0,1,1,0,211,32,230
37902,80,0,0,0,1,0,0,0,26883,40,0
37900,80,1,1,0,0,1,0,0,211,32,0
37900,80,1,1,0,0,1,1,0,211,32,230
37904,80,0,0,0,1,0,0,0,26883,40,0
37902,80,1,1,0,0,1,0,0,211,32,0
37902,80,1,1,0,0,1,1,0,211,32,230
37906,80,0,0,0,1,0,0,0,26883,40,0
37908,80,0,0,0,1,0,0,0,26883,40,0
37910,80,0,0,0,1,0,0,0,26883,40,0
37912,80,0,0,0,1,0,0,0,26883,40,0
37914,80,0,0,0,1,0,0,0,26883,40,0
37916,80,0,0,0,1,0,0,0,26883,40,0
37918,80,0,0,0,1,0,0,0,26883,40,0
37920,80,0,0,0,1,0,0,0,26883,40,0
37922,80,0,0,0,1,0,0,0,26883,40,0
37924,80,0,0,0,1,0,0,0,26883,40,0
37926,80,0,0,0,1,0,0,0,26883,40,0
37928,80,0,0,0,1,0,0,0,26883,40,0
37930,80,0,0,0,1,0,0,0,26883,40,0
37932,80,0,0,0,1,0,0,0,26883,40,0
37934,80,0,0,0,1,0,0,0,26883,40,0
37936,80,0,0,0,1,0,0,0,26883,40,0
37938,80,0,0,0,1,0,0,0,26883,40,0
37902,80,1,1,0,0,1,1,0,211,32,230
37900,80,1,1,0,0,1,1,0,211,32,230
37900,80,1,1,0,0,1,1,0,211,32,230
37902,80,1,1,0,0,1,1,0,211,32,230
